verse,ar,en,timestamps
57:20,اعْلَمُوا أَنَّمَا الْحَيَوةُ الدُّنْيَا,Know that the life of this world,0:00.647
,لَعِبٌ وَلَهْوٌ وَزِينَةٌ,is but amusement and diversion and adornment,0:07.386
,وَتَفَاخُرٌ بَيْنَكُمْ,and boasting to one another,0:12.653
,وَتَكَاثُرٌ فِى الْأَمْوَلِ وَالْأَوْلَدِ,and competition in increase of wealth and children -,0:15.400
,كَمَثَلِ غَيْثٍ أَعْجَبَ الْكُفَّارَ نَبَاتُهُ,like the example of a rain whose [resulting] plant growth pleases the tillers;,0:23.053
,ثُمَّ يَهِيجُ فَتَرَىهُ مُصْفَرًّا,then it dries and you see it turned yellow;,0:27.546
,ثُمَّ يَكُونُ حُطَمًا,then it becomes [scattered] debris.,0:32.186
,وَفِى الْءَاخِرَةِ عَذَابٌ شَدِيدٌ,And in the Hereafter is severe punishment,0:35.840
,وَمَغْفِرَةٌ مِّنَ اللَّهِ وَرِضْوَنٌ,and forgiveness from Allah and approval.,0:41.026
,وَمَا الْحَيَوةُ الدُّنْيَا,And what is the worldly life,0:48.293
,إِلَّا مَتَعُ الْغُرُورِ,except the enjoyment of delusion.,0:52.253
,,,0:56.104
